"snapshot_date","window_start","window_end","store_name","spot_id","storage_id","product_name","product_id","ingredient_name","ingredient_id","current_avg_sales_day","current_min_stock"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Грибна""","294","Піца ""Грибна""","392","0,71","2"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,07","1"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Європейська""","295","Піца ""Європейська""","397","2,71","5"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Італійська""","660","Піца ""Італійська""","1413","1,79","3"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","2,21","4"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,79","2"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""М*ясна""","297","Піца ""М*ясна""","393","1,71","3"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Мисливська""","298","Піца ""Мисливська""","394","2,29","4"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Особлива""","300","Піца ""Особлива""","396","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Поло""","659","Піца ""Поло""","1411","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Сирна""","301","Піца ""Сирна""","395","1,07","2"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,79","2"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Американська""","1055","Піца ""Американська""","2215","0,71","2"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Верона""","879","Піца ""Верона""","1954","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Гавайська""","292","Піца ""Гавайська""","391","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Грибна""","294","Піца ""Грибна""","392","0,71","2"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,07","1"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Європейська""","295","Піца ""Європейська""","397","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Італійська""","660","Піца ""Італійська""","1413","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","0,21","1"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""М*ясна""","297","Піца ""М*ясна""","393","1","2"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Мисливська""","298","Піца ""Мисливська""","394","1,07","2"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Особлива""","300","Піца ""Особлива""","396","0,07","1"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,14","1"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Поло""","659","Піца ""Поло""","1411","0,14","1"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Сирна""","301","Піца ""Сирна""","395","0,79","2"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,43","1"
